#SEMS Sensor Voltages
#--------------------------------------------------------
#BMI SEMS SN:  20
#BMI MCPC SN:  19
#--------------------------------------------------------
#Date	Time	Secs	SampLFEVolt	XsLFEVolt	ShLFEVolt	ImpdPVolt	PressVolt	RHVolt	TempVolt	BoardTempVolt
231031	18:17:06.316	124	1.46158647	1.60673803	1.51972557	3.25476199	4.10272092	0.03782311	3.33213339	4.55239432
231031	18:17:07.322	125	1.46506173	1.61005760	1.52164381	3.25487409	4.10189882	0.03775460	3.33208357	4.55300467
231031	18:17:08.323	126	1.46608314	1.61148383	1.51446284	3.25471216	4.10193618	0.03786048	3.33240120	4.55352783
231031	18:17:09.326	127	1.46577173	1.60325654	1.51787583	3.25377172	4.10100820	0.03755531	3.33218944	4.55399494
231031	18:17:10.325	128	1.46102594	1.60931646	1.52130750	3.25452532	4.10146908	0.03776706	3.33194032	4.55457415
231031	18:17:11.331	129	1.46563472	1.61160216	1.51778863	3.25502980	4.10181785	0.03761759	3.33261295	4.55484196
231031	18:17:12.332	130	1.46603954	1.60975865	1.51728416	3.25453155	4.10166215	0.03807224	3.33260050	4.55510354
231031	18:17:13.332	131	1.46224041	1.60542391	1.52237873	3.25472462	4.10126355	0.03796636	3.33282471	4.55523433
231031	18:17:14.337	132	1.46028480	1.60016741	1.51803776	3.25441944	4.10161232	0.03819680	3.33233892	4.55522187
231031	18:17:15.337	133	1.46676823	1.60856909	1.51836162	3.25517304	4.10159364	0.03782311	3.33275620	4.55524678
231031	18:17:16.339	134	1.46097611	1.61466015	1.52051030	3.25478690	4.10178048	0.03803487	3.33236383	4.55510354
231031	18:17:17.339	135	1.46540428	1.60538654	1.52016153	3.25472462	4.10155004	0.03799127	3.33229532	4.55480459
231031	18:17:18.345	136	1.46471919	1.60714286	1.51588284	3.25435093	4.10179294	0.03790408	3.33225795	4.55448073
231031	18:17:19.346	137	1.46623261	1.60799610	1.51793811	3.25375304	4.10168083	0.03759267	3.33200260	4.55406345
231031	18:17:20.350	138	1.46395313	1.60805838	1.52479522	3.25435716	4.10168083	0.03784802	3.33263786	4.55349669
231031	18:17:21.350	139	1.46661252	1.60538031	1.52054144	3.25462497	4.10173689	0.03794767	3.33295550	4.55296731
231031	18:17:22.356	140	1.46367910	1.61124093	1.51771390	3.25511699	4.10155627	0.03805978	3.33243857	4.55231336
231031	18:17:23.355	141	1.46484998	1.60835110	1.51628144	3.25446304	4.10219154	0.03782934	3.33227664	4.55153485
231031	18:17:27.414	145	1.46764016	1.60785286	1.52214206	3.25479936	4.10181162	0.03772346	3.33219567	4.54799730
231031	18:17:28.414	146	1.46843735	1.60707435	1.52013039	3.25455646	4.10125732	0.03835250	3.33275620	4.54682642
231031	18:17:29.414	147	1.46948367	1.61429892	1.52023004	3.25494883	4.10176803	0.03792899	3.33230778	4.54576765
231031	18:17:30.416	148	1.46222796	1.60921681	1.51857960	3.25517927	4.10069680	0.03800373	3.33205865	4.54439124
231031	18:17:31.416	149	1.46124392	1.60441496	1.51991241	3.25472462	4.10137566	0.03769855	3.33198392	4.54308335
231031	18:17:32.418	150	1.46380366	1.60828882	1.51721565	3.25478690	4.10195487	0.03807846	3.33261918	4.54198098
231031	18:17:33.418	151	1.46350471	1.60332505	1.51928337	3.25483672	4.10182408	0.03775460	3.33212093	4.54044264
231031	18:17:34.418	152	1.46134357	1.60779681	1.51977539	3.25475576	4.10203583	0.03788539	3.33154795	4.53913475
231031	18:17:35.418	153	1.46497454	1.60936005	1.52135732	3.25466234	4.10076531	0.03784802	3.33292436	4.53759018
231031	18:17:36.418	154	1.46395313	1.60547996	1.52204864	3.25486787	4.10156250	0.03796013	3.33167874	4.53610167
231031	18:17:37.423	155	1.46618279	1.60797119	1.51984390	3.25425751	4.10173066	0.03796636	3.33259427	4.53445123
231031	18:17:38.423	156	1.46709209	1.61262357	1.51537837	3.25481181	4.10166215	0.03784802	3.33255067	4.53286930
231031	18:17:39.422	157	1.46747823	1.60700584	1.51884118	3.25441322	4.10176180	0.03783557	3.33268769	4.53118149
231031	18:17:40.422	158	1.46712323	1.61185128	1.51859828	3.25477444	4.10146908	0.03811583	3.33261295	4.52944386
231031	18:17:41.422	159	1.46942139	1.60678163	1.51506074	3.25524155	4.10163101	0.03795390	3.33242611	4.52782456
231031	18:17:42.422	160	1.46780209	1.60128224	1.51457495	3.25505471	4.10130715	0.03754908	3.33164760	4.52621149
231031	18:17:43.425	161	1.47186279	1.60573531	1.51774504	3.25460629	4.10169952	0.03825285	3.33241365	4.52449254
231031	18:17:44.425	162	1.47540657	1.60647022	1.52071583	3.25469971	4.10139434	0.03779820	3.33244479	4.52259920
231031	18:17:45.429	163	1.47399902	1.60684391	1.51719697	3.25489278	4.10122618	0.03788539	3.33268146	4.52112315
231031	18:17:46.429	164	1.47710061	1.60909847	1.51314872	3.25460006	4.10146908	0.03743697	3.33214585	4.51939797
231031	18:17:47.429	165	1.47583631	1.61294120	1.52236627	3.25514190	4.10164347	0.03769855	3.33210225	4.51774753
231031	18:17:48.429	166	1.47316446	1.61084233	1.51973802	3.25463120	4.10186768	0.03842724	3.33332918	4.51623411
231031	18:17:49.429	167	1.46873007	1.60685637	1.51946399	3.25419523	4.10168706	0.03798504	3.33194655	4.51488884
231031	18:17:50.429	168	1.47087876	1.60544882	1.51827442	3.25478690	4.10186145	0.03772969	3.33210225	4.51351244
231031	18:17:51.437	169	1.46851209	1.60699338	1.51844881	3.25474330	4.10152513	0.03755531	3.33177839	4.51213603
231031	18:17:52.437	170	1.47389315	1.60853795	1.51613819	3.25519173	4.10203583	0.03796013	3.33288699	4.51092156
231031	18:17:53.440	171	1.46770244	1.60566057	1.51881004	3.25471216	4.10201715	0.03793522	3.33241988	4.50973822
